season,week,n_active,n_eliminated,eliminated_names,feasible,n_samples,margin_mean,margin_p05,margin_p50,predicted_eliminated_names,actual_eliminated_names,match
3,1,11,1,Tucker Carlson,True,2000,0.0246282053430912,0.002771566049096,0.02296714940806,Tucker Carlson,Tucker Carlson,True
3,2,10,1,Shanna Moakler,True,2000,0.0126651349801611,0.0009528326489573,0.0096165787461702,Shanna Moakler,Shanna Moakler,True
3,3,9,1,Harry Hamlin,True,2000,0.0156371329207905,0.0010394096033101,0.0123133250598916,Harry Hamlin,Harry Hamlin,True
3,4,8,1,Vivica A. Fox,True,2000,0.0210450960995701,0.0014743562419541,0.0172907546319926,Vivica A. Fox,Vivica A. Fox,True
3,5,7,2,Willa Ford;Sara Evans,True,2000,0.0263885849217149,0.00175332727241,0.0203420686076758,Sara Evans;Willa Ford,Willa Ford;Sara Evans,True
3,6,5,0,,True,2000,,,,,,NA
3,7,5,1,Jerry Springer,True,2000,0.0642352342237276,0.0061729526770963,0.0526269078759463,Jerry Springer,Jerry Springer,True
3,8,4,1,Monique Coleman,True,2000,0.0870053561830815,0.0055692814392494,0.0696787071057459,Monique Coleman,Monique Coleman,True
3,9,3,1,Joey Lawrence,True,2000,0.1662221292507109,0.0085923365805591,0.1464688828860578,Joey Lawrence,Joey Lawrence,True
3,10,2,0,,True,2000,,,,,,NA
4,1,11,0,,True,2000,,,,,,NA
4,2,11,1,Paulina Porizkova,True,2000,0.0127684259486133,0.0009692840845225,0.0100440660420806,Paulina Porizkova,Paulina Porizkova,True
4,3,10,1,Shandi Finnessey,True,2000,0.0135330450906486,0.0010615419998581,0.0110390945931916,Shandi Finnessey,Shandi Finnessey,True
4,4,9,1,Leeza Gibbons,True,2000,0.0266379251820176,0.0020839913553434,0.0232096192463487,Leeza Gibbons,Leeza Gibbons,True
4,5,8,1,Clyde Drexler,True,2000,0.0413832894555842,0.0045424641212519,0.0374109258182935,Clyde Drexler,Clyde Drexler,True
4,6,7,1,Heather Mills,True,2000,0.0278460928841694,0.0019270317350196,0.0245683378975923,Heather Mills,Heather Mills,True
4,7,6,1,John Ratzenberger,True,2000,0.04444114499768,0.0031331291314154,0.0363376531701362,John Ratzenberger,John Ratzenberger,True
4,8,5,1,Billy Ray Cyrus,True,2000,0.0726553532593433,0.0062060691952673,0.0641869477575595,Billy Ray Cyrus,Billy Ray Cyrus,True
4,9,4,1,Ian Ziering,True,2000,0.0838462311081236,0.0057385722067661,0.0686505343080864,Ian Ziering,Ian Ziering,True
4,10,3,0,,True,2000,,,,,,NA
5,1,12,1,Josie Maran,True,2000,0.0159846136480989,0.0015604446811886,0.0142129405601599,Josie Maran,Josie Maran,True
5,2,11,1,Albert Reed,True,2000,0.0103929519013023,0.000620439239076,0.0076707934966089,Albert Reed,Albert Reed,True
5,3,10,1,Wayne Newton,True,2000,0.0219543840859155,0.0020891751463298,0.0201790900256592,Wayne Newton,Wayne Newton,True
5,4,9,1,Floyd Mayweather Jr. ,True,2000,0.0188969749482439,0.0012835444429043,0.0155039824721649,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True
5,5,8,1,Mark Cuban,True,2000,0.0276127201569508,0.0017619689953966,0.0233397537510491,Mark Cuban,Mark Cuban,True
5,6,7,1,Sabrina Bryan,True,2000,0.0283172729203288,0.0020368133829458,0.0234161590336006,Sabrina Bryan,Sabrina Bryan,True
5,7,6,1,Jane Seymour,True,2000,0.033978716622367,0.0022603408902999,0.026016776146161,Jane Seymour,Jane Seymour,True
5,8,5,1,Cameron Mathison,True,2000,0.0489468293070767,0.0025154202524573,0.0389784483296287,Cameron Mathison,Cameron Mathison,True
5,9,4,1,Jennie Garth,True,2000,0.0827957031947158,0.0059033893980393,0.0678549267185048,Jennie Garth,Jennie Garth,True
5,10,3,0,,True,2000,,,,,,NA
6,1,12,0,,True,2000,,,,,,NA
6,2,12,2,Monica Seles;Penn Jillette,True,2000,0.0147881522013607,0.0010479975002667,0.0121904466582592,Monica Seles;Penn Jillette,Monica Seles;Penn Jillette,True
6,3,10,1,Steve Guttenberg,True,2000,0.0152301012644512,0.0009660723401547,0.0123127324204162,Steve Guttenberg,Steve Guttenberg,True
6,4,9,1,Adam Carolla,True,2000,0.0274538419565734,0.0024890284183006,0.0240433061526799,Adam Carolla,Adam Carolla,True
6,5,8,1,Priscilla Presley,True,2000,0.0256084516868784,0.0021364005452323,0.0227132449466776,Priscilla Presley,Priscilla Presley,True
6,6,7,1,Marlee Matlin,True,2000,0.0334960518976371,0.0031228595698306,0.0290262280891554,Marlee Matlin,Marlee Matlin,True
6,7,6,1,Shannon Elizabeth,True,2000,0.0316215954070484,0.0018658044915505,0.0236347592467826,Shannon Elizabeth,Shannon Elizabeth,True
6,8,5,1,Mario,True,2000,0.0511614352194577,0.0043003338452441,0.0412783527814906,Mario,Mario,True
6,9,4,1,Marissa Jaret Winokur,True,2000,0.0909848739486315,0.00749285199356,0.0757264830705354,Marissa Jaret Winokur,Marissa Jaret Winokur,True
6,10,3,0,,True,2000,,,,,,NA
7,1,13,2,Ted McGinley;Jeffrey Ross,True,2000,0.0089494279437073,0.0006046553451922,0.0072399165554646,Jeffrey Ross;Ted McGinley,Ted McGinley;Jeffrey Ross,True
7,2,11,2,Misty May-Treanor;Kim Kardashian,True,2000,0.0117850785285952,0.0008196557805035,0.0088236911912826,Kim Kardashian;Misty May-Treanor,Misty May-Treanor;Kim Kardashian,True
7,3,9,0,,True,2000,,,,,,NA
7,4,9,1,Rocco DiSpirito,True,2000,0.021982286857753,0.0021047983815268,0.0192579077196314,Rocco DiSpirito,Rocco DiSpirito,True
7,5,8,1,Toni Braxton,True,2000,0.0248996221483347,0.0017847490068835,0.0216722376225216,Toni Braxton,Toni Braxton,True
7,6,7,1,Cloris Leachman,True,2000,0.0509654389807349,0.005899788799115,0.0473026343919526,Cloris Leachman,Cloris Leachman,True
7,7,6,1,Susan Lucci,True,2000,0.0370305871952403,0.0024473769507469,0.0296471809595539,Susan Lucci,Susan Lucci,True
7,8,5,1,Maurice Greene,True,2000,0.0521559754543895,0.00393103848697,0.0420701593231708,Maurice Greene,Maurice Greene,True
7,9,4,1,Cody Linley,True,2000,0.0921883471648812,0.0067131812185519,0.0756242114324067,Cody Linley,Cody Linley,True
7,10,3,0,,True,2000,,,,,,NA
8,1,13,0,,True,2000,,,,,,NA
8,2,13,1,Belinda Carlisle,True,2000,0.0093032014954955,0.0005770394980493,0.0075816531875589,Belinda Carlisle,Belinda Carlisle,True
8,3,12,1,Denise Richards,True,2000,0.01693004175404,0.0012090658133383,0.0145606884900159,Denise Richards,Denise Richards,True
8,4,11,2,Steve Wozniak;Holly Madison,True,2000,0.0205171438865923,0.0015165990977707,0.0173404404682728,Steve Wozniak;Holly Madison,Steve Wozniak;Holly Madison,True
8,5,9,1,David Alan Grier,True,2000,0.0167007629609918,0.0011182850439131,0.0133498025716082,David Alan Grier,David Alan Grier,True
8,6,8,1,Steve-O,True,2000,0.0360812135225435,0.0030802858418392,0.032784878013247,Steve-O,Steve-O,True
8,7,7,1,Lawrence Taylor,True,2000,0.0363962476414581,0.0028233518467652,0.0317311721006764,Lawrence Taylor,Lawrence Taylor,True
8,8,6,1,Chuck Wicks,True,2000,0.0358717736523057,0.0024409029104773,0.0281020679584587,Chuck Wicks,Chuck Wicks,True
8,9,5,1,Lil' Kim,True,2000,0.0522139398287316,0.0035879869651326,0.0433789441757187,Lil' Kim,Lil' Kim,True
8,10,4,1,Ty Murray,True,2000,0.0988148454789446,0.0090299440075132,0.0833677434080168,Ty Murray,Ty Murray,True
8,11,3,0,,True,2000,,,,,,NA
9,1,16,2,Ashley Hamiliton;Macy Gray,True,2000,0.0082762711571092,0.0007566626585939,0.0065835689498749,Macy Gray;Ashley Hamiliton,Ashley Hamiliton;Macy Gray,True
9,2,14,1,Kathy Ireland,True,2000,0.0074548834377361,0.0006210556734398,0.0063033942507063,Kathy Ireland,Kathy Ireland,True
9,3,13,2,Debi Mazar;Tom DeLay,True,2000,0.0095413749046146,0.0006721813056868,0.0074712446521662,Tom DeLay;Debi Mazar,Debi Mazar;Tom DeLay,True
9,4,11,1,Chuck Liddell,True,2000,0.0201441662317616,0.0018676680615305,0.0187666614927757,Chuck Liddell,Chuck Liddell,True
9,5,10,1,Natalie Coughlin,True,2000,0.0152594162618349,0.0010151445507949,0.0127546636384016,Natalie Coughlin,Natalie Coughlin,True
9,6,9,2,Melissa Joan Hart;Louie Vito,True,2000,0.0221615524082268,0.0013574916662294,0.0176493273024302,Louie Vito;Melissa Joan Hart,Melissa Joan Hart;Louie Vito,True
9,7,7,2,Mark Dacascos;Michael Irvin,True,2000,0.0314108362097308,0.0019078251357989,0.0250579342135731,Mark Dacascos;Michael Irvin,Mark Dacascos;Michael Irvin,True
9,8,5,1,Aaron Carter,True,2000,0.056827428008827,0.0032905194127675,0.0462781231840335,Aaron Carter,Aaron Carter,True
9,9,4,1,Joanna Krupa,True,2000,0.0880825805693207,0.0059628418176448,0.0755823267958916,Joanna Krupa,Joanna Krupa,True
9,10,3,0,,True,2000,,,,,,NA
10,1,11,0,,True,2000,,,,,,NA
10,2,11,1,Shannen Doherty,True,2000,0.0107917073336679,0.0007692205937392,0.009010348273549,Shannen Doherty,Shannen Doherty,True
10,3,10,1,Buzz Aldrin,True,2000,0.0276553107685829,0.0030461296909409,0.0261313104950687,Buzz Aldrin,Buzz Aldrin,True
10,4,9,1,Aiden Turner,True,2000,0.0244664201361751,0.0019027939133156,0.0207008595087892,Aiden Turner,Aiden Turner,True
10,5,8,1,Kate Gosselin,True,2000,0.0343837218020874,0.0032631015128796,0.0308463439221601,Kate Gosselin,Kate Gosselin,True
10,6,7,1,Jake Pavelka,True,2000,0.0331783224247509,0.0025275171666279,0.0295782054738016,Jake Pavelka,Jake Pavelka,True
10,7,6,1,Pamela Anderson,True,2000,0.0332416420641848,0.0023268590225496,0.0267726516918672,Pamela Anderson,Pamela Anderson,True
10,8,5,1,Niecy Nash,True,2000,0.0659267482683417,0.0055159888436225,0.0559845572958742,Niecy Nash,Niecy Nash,True
10,9,4,1,Chad Ochocinco,True,2000,0.0922428010394731,0.0081373179524213,0.0783506813708215,Chad Ochocinco,Chad Ochocinco,True
10,10,3,0,,True,2000,,,,,,NA
11,1,12,1,David Hasselhoff,True,2000,0.0134389248744366,0.0010518970061379,0.0117435465788561,David Hasselhoff,David Hasselhoff,True
11,2,11,1,Michael Bolton,True,2000,0.0254720831963458,0.002551320675855,0.0244533093133186,Michael Bolton,Michael Bolton,True
11,3,10,1,Margaret Cho,True,2000,0.0197029636965345,0.0017066706421839,0.017241580134364,Margaret Cho,Margaret Cho,True
11,4,9,1,The Situation,True,2000,0.026710607460622,0.0022918690021409,0.0239660969983369,The Situation,The Situation,True
11,5,8,1,Florence Henderson,True,2000,0.0244645256412474,0.0019941413037121,0.0210609814962051,Florence Henderson,Florence Henderson,True
11,6,7,1,Audrina Patridge,True,2000,0.021891251060495,0.0012124910739921,0.0168502014577733,Audrina Patridge,Audrina Patridge,True
11,7,6,1,Rick Fox,True,2000,0.0352112265703819,0.0027520890901839,0.0274394635983909,Rick Fox,Rick Fox,True
11,8,5,1,Kurt Warner,True,2000,0.0610932897548457,0.0043123127181009,0.0495232863858363,Kurt Warner,Kurt Warner,True
11,9,4,1,Brandy,True,2000,0.0827095241349581,0.0068336404401783,0.0676670375156564,Brandy,Brandy,True
11,10,3,0,,True,2000,,,,,,NA
12,1,11,0,,True,2000,,,,,,NA
12,2,11,1,Mike Catherwood,True,2000,0.0141155465631773,0.0010590953731372,0.0117339349876154,Mike Catherwood,Mike Catherwood,True
12,3,10,1,Wendy Williams,True,2000,0.0255747748901935,0.0026578941070156,0.0247263049802305,Wendy Williams,Wendy Williams,True
12,4,9,1,Sugar Ray Leonard,True,2000,0.0169890711675519,0.0013660280765087,0.0142724365196171,Sugar Ray Leonard,Sugar Ray Leonard,True
12,5,8,1,Petra Nemcova,True,2000,0.0230619007031096,0.0017198957439813,0.0193198017423239,Petra Nemcova,Petra Nemcova,True
12,6,7,1,Chris Jericho,True,2000,0.0327117727544502,0.0030563944781205,0.0273309864987778,Chris Jericho,Chris Jericho,True
12,7,6,1,Kendra Wilkinson,True,2000,0.0361871782570038,0.0025949693630442,0.0288460181577778,Kendra Wilkinson,Kendra Wilkinson,True
12,8,5,1,Romeo,True,2000,0.0482392912902711,0.0032597469007053,0.0377321967442914,Romeo,Romeo,True
12,9,4,1,Ralph Macchio,True,2000,0.1089847207153973,0.0099595522199144,0.0914480955300375,Ralph Macchio,Ralph Macchio,True
12,10,3,0,,True,2000,,,,,,NA
13,1,12,1,Metta World Peace (Ron),True,2000,0.0153425979244168,0.001481865641087,0.0134242723883282,Metta World Peace (Ron),Metta World Peace (Ron),True
13,2,11,1,Elisabetta Canalis,True,2000,0.0094987660554682,0.0005922316927587,0.0074263341442714,Elisabetta Canalis,Elisabetta Canalis,True
13,3,10,1,Kristin Cavallari,True,2000,0.0122124860441062,0.0007792111823727,0.0090438808950348,Kristin Cavallari,Kristin Cavallari,True
13,4,9,1,Chynna Phillips,True,2000,0.0173287999708667,0.0011007425288605,0.0138777273525908,Chynna Phillips,Chynna Phillips,True
13,5,8,1,Carson Kressley,True,2000,0.0257706609285635,0.0022100453080336,0.0226163644385965,Carson Kressley,Carson Kressley,True
13,6,7,1,Chaz Bono,True,2000,0.0361618040370847,0.0031235327903149,0.0319102077964228,Chaz Bono,Chaz Bono,True
13,7,6,1,David Arquette,True,2000,0.0366091318953062,0.0028095748228304,0.028541833194397,David Arquette,David Arquette,True
13,8,5,1,Nancy Grace,True,2000,0.0618587362727376,0.0066084000880787,0.053106194730755,Nancy Grace,Nancy Grace,True
13,9,4,1,Hope Solo,True,2000,0.1064120054742707,0.0096864641898314,0.0923877239675466,Hope Solo,Hope Solo,True
13,10,3,0,,True,2000,,,,,,NA
14,1,12,0,,True,2000,,,,,,NA
14,2,12,1,Martina Navratilova,True,2000,0.014524443522877,0.0012194736541527,0.012932314889996,Martina Navratilova,Martina Navratilova,True
14,3,11,1,Jack Wagner,True,2000,0.0115993571112123,0.0008663518966114,0.0090984986602053,Jack Wagner,Jack Wagner,True
14,4,10,1,Sherri Sheperd,True,2000,0.0157858197756569,0.0011515880809512,0.0131436447858348,Sherri Sheperd,Sherri Sheperd,True
14,5,9,1,Gavin DeGraw,True,2000,0.0249383238635339,0.002186436162285,0.0221224623242856,Gavin DeGraw,Gavin DeGraw,True
14,6,8,1,Gladys Knight,True,2000,0.030867490150247,0.0028886525104911,0.0272104630640568,Gladys Knight,Gladys Knight,True
14,7,7,1,Jaleel White,True,2000,0.0280542692387892,0.0020643160927903,0.0226903288627287,Jaleel White,Jaleel White,True
