season,week,elim_count,week_correct,penalty
3,1,1,1,0.0
3,2,1,1,0.0
3,3,1,1,0.0
3,4,1,1,0.0014015018245692751
3,5,1,0,0.03812518182994566
3,6,0,0,0.0
3,7,1,1,0.0
3,8,1,0,0.014506305246322007
3,9,0,0,0.0
3,10,0,0,0.0
4,1,0,0,0.0
4,2,1,1,0.0
4,3,1,1,0.0
4,4,1,1,0.0
4,5,1,1,0.0
4,6,1,1,0.0
4,7,1,1,0.0
4,8,1,1,0.0
4,9,1,1,0.0
4,10,0,0,0.0
5,1,1,1,0.0
5,2,1,1,0.0
5,3,1,1,0.006860004329185701
5,4,1,1,0.001184499775742467
5,5,1,1,0.006426657483148792
5,6,1,0,0.032910557212470645
5,7,1,1,0.00020015219315671316
5,8,1,0,0.01793337444408593
5,9,1,1,0.0
5,10,0,0,0.0
6,1,0,0,0.0
6,2,2,1,0.0
6,3,1,1,0.0070765474564154045
6,4,1,0,0.012998742201357152
6,5,1,1,0.0
6,6,1,1,0.0
6,7,1,0,0.02762975694046053
6,8,1,1,0.0012716958815310233
6,9,1,1,0.0
6,10,0,0,0.0
7,1,2,0,0.058758967543044605
7,2,1,0,0.0339243347178019
7,3,0,0,0.0
7,4,1,1,0.00025839033806534205
7,5,1,0,0.04634982936200064
7,6,1,1,0.0
7,7,1,0,0.03208108261485902
7,8,1,0,0.017963117375236797
7,9,1,1,8.748404725893687e-05
7,10,0,0,0.0
8,1,0,0,0.0
8,2,1,1,0.004385055992874731
8,3,1,1,0.007872670460186642
8,4,2,1,0.0
8,5,1,1,5.818298604728066e-05
8,6,1,1,0.0
8,7,1,1,0.0
8,8,1,1,0.0
8,9,1,1,0.0
8,10,1,1,0.0
8,11,0,0,0.0
9,1,2,0,0.04472731379765964
9,2,1,1,0.0026695089652569916
9,3,1,0,0.02313132686560052
9,4,1,0,0.040706280654481786
9,5,1,0,0.03811592034546757
9,6,2,0,0.022714389849474225
9,7,2,1,0.0003821917941173505
9,8,1,1,0.0
9,9,1,1,1.739793582499448e-05
9,10,0,0,0.0
10,1,0,0,0.0
10,2,1,1,0.004512618044554136
10,3,1,1,0.00017743400946336994
10,4,1,1,0.0
10,5,1,1,0.0
10,6,1,1,0.0
10,7,1,1,0.005242179793788373
10,8,1,1,0.0
10,9,1,1,0.0
10,10,0,0,0.0
11,1,1,0,0.06310955665607959
11,2,1,1,0.0
11,3,1,1,0.00019698065634836913
11,4,1,0,0.01044463276226502
11,5,1,1,0.00010907274513898522
11,6,1,0,0.0620576072588925
11,7,1,1,6.430142537260618e-05
11,8,1,1,0.0068290168884896744
11,9,1,1,0.007889583547686301
11,10,0,0,0.0
12,1,0,0,0.0
12,2,1,1,0.0
12,3,1,1,0.0
12,4,1,1,0.0
12,5,1,1,0.0
12,6,1,1,0.0
12,7,1,1,0.0
12,8,1,1,0.0
12,9,1,1,0.0
12,10,0,0,0.0
13,1,1,0,0.032729103544380064
13,2,1,1,0.00055088371182784
13,3,1,1,0.016653409483491893
13,4,1,1,0.0
13,5,1,1,0.0
13,6,1,0,0.015081526378868745
13,7,1,0,0.027811143230124444
13,8,1,1,0.0
13,9,1,1,0.0
13,10,0,0,0.0
14,1,0,0,0.0
14,2,1,1,0.0
14,3,1,1,0.019351916008006478
14,4,1,1,1.792211206496329e-05
14,5,1,1,0.007211013580503028
14,6,1,1,0.0
14,7,1,0,0.03890249164288821
14,8,2,1,0.0
14,9,1,1,0.0
14,10,0,0,0.0
15,1,1,1,0.0
15,2,1,1,0.009976755252835997
15,3,2,1,0.0
15,4,1,0,0.025211464091544226
15,5,0,0,0.0
15,6,1,0,0.12093607384503495
15,7,0,0,0.0
15,8,2,1,0.0016238835305211492
15,9,2,0,0.04790469364778351
15,10,0,0,0.0
16,1,0,0,0.0
16,2,0,0,0.0
16,3,1,1,0.0
16,4,1,1,0.0
16,5,1,0,0.013110420703674066
16,6,1,1,0.0
16,7,1,1,0.0
16,8,1,1,0.0
16,9,1,1,0.0
16,10,1,1,0.0
17,1,0,0,0.0
17,2,1,1,0.0
17,3,1,1,0.0
17,4,1,1,0.0005159815938754666
17,5,1,1,0.00016612378878804422
17,6,0,0,0.0
17,7,1,1,0.0
17,8,1,0,0.0567833452020521
17,9,1,0,0.0206571489554621
17,10,1,1,0.0
17,11,1,1,0.0
18,1,0,0,0.0
18,2,1,1,0.0
18,3,0,0,0.0
18,4,0,0,0.0
18,5,1,1,0.0
18,6,1,1,0.0
18,7,1,1,0.0
18,8,1,1,0.019540964698974615
18,9,1,0,0.06465159818965863
18,10,1,1,0.0
19,1,1,1,0.0
19,2,1,1,9.20702119003771e-05
19,3,1,1,0.0
19,4,1,1,0.0003827454899915841
19,5,0,0,0.0
19,6,1,0,0.020982457677333366
19,7,1,1,0.00029322161222529973
19,8,1,1,0.0
19,9,1,1,0.0
19,10,1,1,0.0
19,11,1,1,0.0
20,1,0,0,0.0
20,2,1,0,0.023896481947761138
20,3,1,1,0.0
20,4,1,1,0.006919310984544107
20,5,1,0,0.04915366711506483
20,6,1,1,4.02264453598835e-05
20,7,1,0,0.03582283056244954
20,8,2,1,0.0
20,9,1,0,0.035431135290165165
20,10,0,0,0.0
21,1,0,0,0.0
21,2,2,1,0.0
21,3,0,0,0.0
21,4,1,1,0.0
21,5,0,0,0.0
21,6,1,1,0.0
21,7,1,1,0.0
21,8,1,1,0.0
21,9,1,1,0.0
21,10,0,0,0.0
21,11,1,1,0.0
22,1,0,0,0.0
22,2,1,1,0.0
22,3,1,1,0.0
22,4,1,1,0.0003467900321401842
22,5,0,0,0.0
22,6,1,1,0.0
22,7,2,1,0.01
22,8,1,1,0.0
22,9,2,1,0.0
22,10,0,0,0.0
23,1,0,0,0.0
23,2,1,0,0.037230553455665
23,3,1,1,0.0029418818740720217
23,4,2,0,0.0419583423252485
23,5,0,0,0.0
23,6,1,1,0.003519395047052445
23,7,1,0,0.01688210925355861
23,8,1,0,0.06742965701850084
23,9,1,1,0.0
23,10,1,0,0.014544590776604518
23,11,1,1,0.0
24,1,0,0,0.0
24,2,1,1,0.0
24,3,1,1,0.0
24,4,1,1,0.0
24,5,1,0,0.0217434458654345
24,6,1,1,0.0008272509156513532
24,7,2,1,0.016164225099849064
24,8,1,0,0.01549121964138442
24,9,1,0,0.091465153155294
24,10,0,0,0.0
25,1,0,0,0.0
25,2,2,1,0.013726816637738053
25,3,0,0,0.0
25,4,1,0,0.0550306610727993
25,5,1,1,0.008892854417625894
25,6,1,1,0.0
25,7,2,0,0.036851652683825856
25,8,1,1,0.0
25,9,1,1,0.0
25,10,1,1,0.0
26,1,2,0,0.03248345797863463
26,2,2,0,0.09863716243969284
26,3,3,1,0.0035831535397267047
26,4,0,0,0.0
27,1,1,1,0.0
27,2,1,1,2.719216352194652e-05
27,3,1,0,0.05224005120263132
27,4,1,1,0.005125114795012811
27,5,0,0,0.0
27,6,1,0,0.011708983343889331
27,7,2,1,0.0
27,8,2,1,0.00024854401923573265
27,9,0,0,0.0
